name,en_US,ja_JP,ko_KR,cn_CN
Main.error.restartAdmin,"

Faulty CATS installation found!
To fix this restart Blender as admin!     
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 Blender를 관리자로 다시 시작하세요!     
","检测到 CATS 插件安装损坏！
修复方法：以管理员身份重启 Blender！"
Main.error.deleteFollowing,"                                                                                                                                                                                                         

Faulty CATS installation found!
To fix this delete the following files and folders inside your addons folder:
",,"                                                                                                                                                                                                         

잘못 설치된 Cats Plugin이 발견되었습니다!
이 문제를 해결하려면 addons 폴더에서 다음 파일과 폴더를 삭제하세요.:
","检测到 CATS 插件安装损坏！
修复方法：删除插件文件夹内的以下文件及文件夹！"
Main.error.installViaPreferences,"

Faulty CATS installation found!
Please install CATS via User Preferences and restart Blender!
",,"

잘못 설치된 Cats Plugin이 발견되었습니다!
사용자 환경 설정(User Preferences)을 통해 CATS를 설치하고 블렌더를 다시 시작하세요!
","检测到 CATS 插件安装损坏！
请通过用户偏好设置安装 CATS 插件并重启 Blender！"
Main.error.restartAndEnable,"

Faulty CATS installation was found and fixed!
Please restart Blender and enable CATS again!
",,"

잘못된 설치된 Cats Plugin 발견됐고 수정되었습니다!
Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
","检测到 CATS 插件安装损坏，已完成修复！
请重启 Blender 并重新启用 CATS 插件！"
Main.error.unsupportedVersion,"

Blender versions older than 2.79 are not supported by Cats. 
Please use Blender 2.79 or later.
",,"

2.79 이전의 블렌더 버전은 Cats에서 지원하지 않습니다. 
Blender 2.79 버전 이상을 사용하세요.
","CATS 插件不支持 2.79 以下版本的 Blender
请使用 2.79 及更高版本。"
Main.error.beta2.80,"

You are still on the beta version of Blender 2.80!
Please update to the release version of Blender 2.80.
",,"

아직 Blender 2.80 베타 버전을 사용 중입니다!
Blender를 2.80 정식 버전으로 업데이트하세요.
","你当前使用的是 Blender 2.80 测试版！
请更新至 Blender 2.80 正式版。"
Main.error.restartAndEnable_alt,"

Please restart Blender and enable CATS again!
",,"

Blender를 다시 시작하고 Cats Plugin를 다시 활성화하세요!
",请重启 Blender 并重新启用 CATS 插件！
ToolPanel.label,Cats Blender Plugin,Cats ブレンダープラグイン,,CATS Blender 插件
ToolPanel.category,CATS,,,CATS
ArmaturePanel.label,Model,モデル,모델,模型
ArmaturePanel.warn.oldBlender1,Old Blender version detected!,古いブレンダーバージョンが検出されました!,이전 블렌더 버전이 발견되었습니다!,检测到 Blender 版本过旧！
ArmaturePanel.warn.oldBlender2,Some features might not work!,一部の機能は動作しない可能性があります!,일부 기능이 작동하지 않을 수 있습니다!,部分功能可能无法正常运行！
ArmaturePanel.warn.oldBlender3,Please update to Blender 2.79!,ブレンダー2.79以上にアップデートしてください!,블렌더 2.79 버전으로 업데이트하세요!,请更新至 2.79 版本！
ArmaturePanel.warn.noDict1,Dictionary not found!,辞書が見つかりません!,사전파일(Dictionary)을 찾을 수 없습니다!,未找到词典文件！
ArmaturePanel.warn.noDict2,"Translations will work, but are not optimized.",翻訳は機能しますが、最適化されません。,번역은 되지만 최적화되지는 않습니다.,翻译功能可运行，但未做优化。
ArmaturePanel.warn.noDict3,Reinstall Cats to fix this.,これを修正するためにCatsを再インストールします。,이 문제를 해결하려면 Cats를 다시 설치하세요.,重新安装 CATS 插件即可修复。
ArmaturePanel.ImportAnyModel.label,Import Model,モデルのインポート,모델 불러오기,导入模型
ModelSettings.label,Fix Model Settings,モデル設定の修正,모델 고치기 설정,修复模型设置
ModelSettings.warn.fbtFix1,The Full Body Tracking Fix,フル ボディトラッキングの修正,풀바디 트래킹 수정,VRChat全身追踪修复功能
ModelSettings.warn.fbtFix2,is no longer needed for VRChat.,もはやVrChatのために必要とされていません。,VRChat에 더 이상 필요하지 않음.,已无需启用
ModelSettings.warn.fbtFix3,It's still available in Model Options.,モデル オプションで引き続き使用できます。.,이것은 모델옵션에서 여전히 이용가능.,该功能仍保留在模型选项面板中。
ManualPanel.label,Model Options,モデル オプション,모델 옵션,模型选项
ManualPanel.separateBy,Separate by:,別に:,메쉬 분리:,分离依据：
ManualPanel.SeparateByMaterials.label,Materials,材料,매테리얼별로,材质
ManualPanel.SeparateByLooseParts.label,Loose Parts,緩い部品,느슨한 부분별로,松散部件
ManualPanel.SeparateByShapekeys.label,Shapes,図形,쉐이프별로,形状键
ManualPanel.joinMeshes,Join Meshes:,メッシュに参加する:,메쉬 통합:,合并网格：
ManualPanel.JoinMeshes.label,All,すべて,모두,全部
